Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,,,
124570.2,x,,ter- + <aju>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124571,k,0,terajun,dasar,,,,,
124571.1,x,,[ter-:te-] + <rajun>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124571.2,v,,ter- + <ajun>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124572,k,9,terajut,dasar,,,,,
124572.1,v,,[ter-:te-] + <rajut>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124572.2,x,,ter- + <ajut>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124573,k,9,terak,dasar,,,,,
124573.1,x,,[ter-:te-] + <rak>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124573.2,x,,ter- + <ak>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124574,x,5,terakan,dasar,,,,,
124574.1,x,,[ter-:te-] + <ra> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124574.2,x,,[ter-:te-] + <rak> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124574.3,x,,[ter-:te-] + <rakan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124574.4,x,,ter- + <a> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124574.5,x,,ter- + <ak> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
